Bill Of Materials (BOM),,,,,,,
#,Reference,Qty,Value,Descripción,Product Number,Manufacturer,Price
1,"C1,C5,C8",3,1u,Unpolarized capacitor,,,
2,C2,1,275n,Unpolarized capacitor,,,
3,C3,1,2200u,Unpolarized capacitor,,,
4,"C4,C6",2,10u,Unpolarized capacitor,,,
5,C7,1,100u,TLJP107M004R2700,,,
6,"C9,C10",2,100n,Unpolarized capacitor,,,
7,"D1,D2,D3,D4",4,SMAJ12A-HP6AT/13,ESD Protection Diodes / SMAJ DO214AC TVS Diodes 12V–19.9V AEC-Q101,SMAJ12A-HP6AT/13,YAGEO,"0,396"
8,"D5,D9",2,CMSH3-40MA,Schottky diode,,,
9,D6,1,SS1040_R1_00001,Schottky diode,,,
10,D7,1,Q62702P5179,Light emitting diode,,,
11,D8,1,Q62702P5178,Light emitting diode,,,
12,D10,1,BAV70,"Dual 100V 215mA high-speed switching diodes, common cathode, SOT-23",,,
13,D11,1,KDZVTR12B,Zener diode,,,
14,D12,1,SS34,"40V 3A Schottky Diode, SMA",,,
15,F1,1,MF-SMDF100_33X-2,Resettable Fuses - PPTC PTC RESETTABLE 1.1A 33V SMD 2018,,,
16,IC1,1,LT3650EMSE-8.4#PBF,Battery Management High Voltage 2 Amp Monolithic 2-Cell Li-Ion Battery Charger,,,
17,J1,1,Conn_01x05_Pin,"Generic connector, single row, 01x05, script generated",,,
18,J2,1,Conn_01x06_Pin,"Generic connector, single row, 01x06, script generated",,,
19,L1,1,3613C10UH,Fixed Inductors 250 mAmps +/- 10% 10 uH,,,
20,PS1,1,LDK320AM33R,LDO Voltage Regulators 200 mA low quiescent current and high PSRR voltage regulator,,,
21,"Q1,Q2",2,FDC610PZ,"Max rDS(on) = 75m at VGS = -4.5V, ID = -3.7A; Low gate charge (17nC typical).; High performance trench technology for extremely low rDS(on). ; SuperSOT-6 package: small footprint (72% smaller than standard SO-8) low profile (1mm thick).; Max rDS(on) = 42m at VGS = -10V, ID = -4.9A; RoHS compliant",,,
22,R1,1,287k,"Resistor, small US symbol",,,
23,R2,1,3.16k,"Resistor, small US symbol",,,
24,R3,1,30.1k,"Resistor, small US symbol",,,
25,R4,1,100k,"Resistor, small US symbol",,,
26,R5,1,16.5k,"Resistor, small US symbol",,,
27,R6,1,6k,"Resistor, small US symbol",,,
28,"R7,R8",2,5.1k,"Resistor, small US symbol",,,
29,R9,1,50m,"Resistor, small US symbol",,,
30,"R10,R11",2,10k,"Resistor, small US symbol,Thick Film Resistors - SMD General Purpose Chip Resistor 0805, 10kOhms, 5%, 1/8W",RC0805JR-7W10KL,YAGEO,"0,086"
31,R12,1,470k,"Resistor, small US symbol",,,
32,TP1,1,S1751-46,Hardware: SMT Test Point 1.63x3.25mm 2mm high,,,
33,U1,1,TPS26600RHF,"60V, 2A Current Limiting, Industrial eFuse, Reverse Current Blocking, Adjustable Overvoltage cut-off, Active Current Limiting, Circuit Breaker with auto-retry, VQFN-24",,,
34,U2,1,LTC4412xS6,"Low Loss PowerPath Controller, TSOT-23-6",,,
